Name;Filt;JD;mag;recno
SN2005am;uvw2;2453434.47;17.09;       1
SN2005am;uvw2;2453438.28;16.96;       2
SN2005am;uvw2;2453438.57;17.00;       3
SN2005am;uvw2;2453438.91;17.01;       4
SN2005am;uvw2;2453439.25;17.00;       5
SN2005am;uvw2;2453439.51;17.11;       6
SN2005am;uvw2;2453439.85;17.13;       7
SN2005am;uvw2;2453441.52;17.17;       8
SN2005am;uvw2;2453441.86;17.22;       9
SN2005am;uvw2;2453442.26;17.36;      10
SN2005am;uvw2;2453443.46;17.33;      11
SN2005am;uvw2;2453443.73;17.50;      12
SN2005am;uvw2;2453444.40;17.49;      13
SN2005am;uvw2;2453444.96;17.50;      14
SN2005am;uvw2;2453445.28;17.63;      15
SN2005am;uvw2;2453445.68;17.68;      16
SN2005am;uvw2;2453446.02;17.71;      17
SN2005am;uvw2;2453446.21;17.75;      18
SN2005am;uvw2;2453446.62;17.77;      19
SN2005am;uvw2;2453446.95;17.94;      20
SN2005am;uvw2;2453447.62;17.93;      21
SN2005am;uvw2;2453447.95;17.94;      22
SN2005am;uvw2;2453448.30;18.01;      23
SN2005am;uvw2;2453452.00;18.49;      24
SN2005am;uvw2;2453452.69;18.62;      25
SN2005am;uvw2;2453453.88;18.81;      26
SN2005am;uvw2;2453454.52;18.57;      27
SN2005am;uvw2;2453454.86;18.45;      28
SN2005am;uvw2;2453455.99;18.76;      29
SN2005am;uvw2;2453456.56;18.78;      30
SN2005am;uvw2;2453457.77;18.84;      31
SN2005am;uvw2;2453462.98;19.51;      32
SN2005am;uvw2;2453464.97;19.39;      33
SN2005am;uvw2;2453466.85;19.44;      34
SN2005am;uvw2;2453470.63;19.48;      35
SN2005am;uvw2;2453482.59;19.74;      36
SN2005am;uvw2;2453507.63;20.28;      37
SN2005am;uvm2;2453434.44;18.47;      38
SN2005am;uvm2;2453438.18;18.47;      39
SN2005am;uvm2;2453438.58;18.25;      40
SN2005am;uvm2;2453438.92;18.20;      41
SN2005am;uvm2;2453439.26;18.20;      42
SN2005am;uvm2;2453441.53;18.25;      43
SN2005am;uvm2;2453441.87;18.41;      44
SN2005am;uvm2;2453442.27;18.16;      45
SN2005am;uvm2;2453443.46;18.26;      46
SN2005am;uvm2;2453443.74;18.33;      47
SN2005am;uvm2;2453444.41;18.48;      48
SN2005am;uvm2;2453444.96;17.93;      49
SN2005am;uvm2;2453445.29;18.46;      50
SN2005am;uvm2;2453445.69;18.38;      51
SN2005am;uvm2;2453446.02;18.20;      52
SN2005am;uvm2;2453446.22;18.43;      53
SN2005am;uvm2;2453446.62;18.40;      54
SN2005am;uvm2;2453446.96;18.40;      55
SN2005am;uvm2;2453447.63;18.61;      56
SN2005am;uvm2;2453447.96;18.48;      57
SN2005am;uvm2;2453448.31;18.55;      58
SN2005am;uvm2;2453452.01;18.75;      59
SN2005am;uvm2;2453452.69;18.92;      60
SN2005am;uvm2;2453453.88;19.21;      61
SN2005am;uvm2;2453454.53;19.10;      62
SN2005am;uvm2;2453454.87;18.95;      63
SN2005am;uvm2;2453456.00;19.18;      64
SN2005am;uvm2;2453456.57;19.04;      65
SN2005am;uvm2;2453457.77;19.00;      66
SN2005am;uvm2;2453464.98;19.24;      67
SN2005am;uvm2;2453466.86;19.81;      68
SN2005am;uvm2;2453470.63;19.61;      69
SN2005am;uvm2;2453482.59;20.07;      70
SN2005am;uvm2;2453507.64;20.37;      71
SN2005am;uvw1;2453434.44;15.35;      72
SN2005am;uvw1;2453438.19;15.50;      73
SN2005am;uvw1;2453438.59;15.51;      74
SN2005am;uvw1;2453438.93;15.59;      75
SN2005am;uvw1;2453439.26;15.63;      76
SN2005am;uvw1;2453441.53;15.91;      77
SN2005am;uvw1;2453441.87;15.85;      78
SN2005am;uvw1;2453442.27;15.94;      79
SN2005am;uvw1;2453443.46;16.10;      80
SN2005am;uvw1;2453443.75;16.14;      81
SN2005am;uvw1;2453444.42;16.22;      82
SN2005am;uvw1;2453444.96;16.30;      83
SN2005am;uvw1;2453445.29;16.31;      84
SN2005am;uvw1;2453445.69;16.32;      85
SN2005am;uvw1;2453446.03;16.46;      86
SN2005am;uvw1;2453446.23;16.41;      87
SN2005am;uvw1;2453446.63;16.49;      88
SN2005am;uvw1;2453446.97;16.52;      89
SN2005am;uvw1;2453447.63;16.62;      90
SN2005am;uvw1;2453447.97;16.62;      91
SN2005am;uvw1;2453452.01;17.15;      92
SN2005am;uvw1;2453452.69;17.22;      93
SN2005am;uvw1;2453453.89;17.35;      94
SN2005am;uvw1;2453454.54;17.52;      95
SN2005am;uvw1;2453454.87;17.41;      96
SN2005am;uvw1;2453456.00;17.73;      97
SN2005am;uvw1;2453456.57;17.68;      98
SN2005am;uvw1;2453457.77;17.70;      99
SN2005am;uvw1;2453464.98;18.44;     100
SN2005am;uvw1;2453466.86;18.53;     101
SN2005am;uvw1;2453470.63;18.58;     102
SN2005am;uvw1;2453482.60;19.08;     103
SN2005am;uvw1;2453507.64;19.69;     104
SN2005cf;uvw2;2453525.54;17.79;     105
SN2005cf;uvw2;2453526.55;17.53;     106
SN2005cf;uvw2;2453527.55;17.33;     107
