SN;JD;Filt;mag
SN 1998de      ;2451020.48;B;18.330
SN 1998de      ;2451022.49;B;17.823
SN 1998de      ;2451023.48;B;17.703
SN 1998de      ;2451024.49;B;17.616
SN 1998de      ;2451025.49;B;17.599
SN 1998de      ;2451026.49;B;17.663
SN 1998de      ;2451027.45;B;17.668
SN 1998de      ;2451028.50;B;17.763
SN 1998de      ;2451029.48;B;17.822
SN 1998de      ;2451031.48;B;18.146
SN 1998de      ;2451032.50;B;18.387
SN 1998de      ;2451033.42;B;18.564
SN 1998de      ;2451034.45;B;18.924
SN 1998de      ;2451036.46;B;19.177
SN 1998de      ;2451037.49;B;19.262
SN 1998de      ;2451038.48;B;19.101
SN 1998de      ;2451040.48;B;19.597
SN 1998de      ;2451041.39;B;19.712
SN 1998de      ;2451042.42;B;19.938
SN 1998de      ;2451043.47;B;19.590
SN 1998de      ;2451044.40;B;19.711
SN 1998de      ;2451046.38;B;19.988
SN 1998de      ;2451048.42;B;20.155
SN 1998de      ;2451050.37;B;20.149
SN 1998de      ;2451052.37;B;20.606
SN 1998de      ;2451054.38;B;20.791
SN 1998de      ;2451020.48;V;17.560
SN 1998de      ;2451022.49;V;17.246
SN 1998de      ;2451023.48;V;17.084
SN 1998de      ;2451024.49;V;16.960
SN 1998de      ;2451025.49;V;16.922
SN 1998de      ;2451026.49;V;16.844
SN 1998de      ;2451027.45;V;16.848
SN 1998de      ;2451028.50;V;16.827
SN 1998de      ;2451029.48;V;16.860
SN 1998de      ;2451031.48;V;17.001
SN 1998de      ;2451032.50;V;17.061
SN 1998de      ;2451033.42;V;17.146
SN 1998de      ;2451034.45;V;17.252
SN 1998de      ;2451036.46;V;17.373
SN 1998de      ;2451037.49;V;17.477
SN 1998de      ;2451038.48;V;17.747
SN 1998de      ;2451040.48;V;17.872
SN 1998de      ;2451041.39;V;17.968
SN 1998de      ;2451042.42;V;18.012
SN 1998de      ;2451043.47;V;18.232
SN 1998de      ;2451044.40;V;18.271
SN 1998de      ;2451046.38;V;18.446
SN 1998de      ;2451048.42;V;18.608
SN 1998de      ;2451050.37;V;18.626
SN 1998de      ;2451052.37;V;18.842
SN 1998de      ;2451054.38;V;18.940
SN 1998de      ;2451056.35;V;19.018
SN 1998de      ;2451066.44;V;19.203
SN 1998de      ;2451071.31;V;19.469
SN 1998de      ;2451075.33;V;19.557
SN 1998de      ;2451076.35;V;19.651
SN 1998de      ;2451077.41;V;19.785
SN 1998de      ;2451020.48;R;17.365
SN 1998de      ;2451022.49;R;16.990
SN 1998de      ;2451023.48;R;16.867
SN 1998de      ;2451024.49;R;16.749
SN 1998de      ;2451025.49;R;16.677
SN 1998de      ;2451026.49;R;16.609
SN 1998de      ;2451027.45;R;16.614
SN 1998de      ;2451028.50;R;16.610
SN 1998de      ;2451029.48;R;16.601
SN 1998de      ;2451031.48;R;16.695
SN 1998de      ;2451032.50;R;16.736
SN 1998de      ;2451033.42;R;16.792
SN 1998de      ;2451034.45;R;16.850
SN 1998de      ;2451036.46;R;16.886
SN 1998de      ;2451037.49;R;17.151
SN 1998de      ;2451038.48;R;17.089
SN 1998de      ;2451039.51;R;17.100
SN 1998de      ;2451040.48;R;17.286
SN 1998de      ;2451041.39;R;17.359
SN 1998de      ;2451042.42;R;17.472
SN 1998de      ;2451043.47;R;17.560
SN 1998de      ;2451044.40;R;17.672
SN 1998de      ;2451046.38;R;17.840
SN 1998de      ;2451048.42;R;18.025
SN 1998de      ;2451050.37;R;18.154
