SN;Filt;MJD;mag
2006ct        ;B ;53903.25177;18.8490
2006ct        ;B ;53928.18575;19.8695
2006ct        ;V ;53903.24946;18.0660
2006ct        ;V ;53928.18343;19.5980
2006ct        ;r';53903.24786;17.6260
2006ct        ;r';53907.24351;17.7760
2006ct        ;r';53928.18181;19.1475
2006ct        ;i';53903.24626;18.1590
2006ct        ;i';53928.18018;18.9580
2006ou        ;B ;54076.50102;18.2625
2006ou        ;B ;54102.45718;18.7045
2006ou        ;B ;54104.44421;18.8185
2006ou        ;B ;54105.49083;18.7555
2006ou        ;B ;54114.44936;18.8365
2006ou        ;B ;54128.33814;18.9750
2006ou        ;V ;54076.49801;17.3865
2006ou        ;V ;54094.47017;17.8480
2006ou        ;V ;54101.37771;18.0010
2006ou        ;V ;54102.45413;18.0250
2006ou        ;V ;54104.44120;18.0400
2006ou        ;V ;54105.48784;18.0985
2006ou        ;V ;54114.44637;18.3180
2006ou        ;V ;54128.33514;18.7150
2006ou        ;r';54076.49571;17.0600
2006ou        ;r';54094.46786;17.6490
2006ou        ;r';54101.37539;17.9305
2006ou        ;r';54102.45181;17.8830
2006ou        ;r';54104.43889;18.0710
2006ou        ;r';54105.48550;18.0350
2006ou        ;r';54114.44404;18.3240
2006ou        ;r';54128.33281;18.7120
2006ou        ;i';54076.49338;17.3690
2006ou        ;i';54094.46556;18.0410
2006ou        ;i';54101.37308;18.3510
2006ou        ;i';54102.44950;18.3720
2006ou        ;i';54105.48318;18.4150
2006ou        ;i';54114.44172;18.6885
2006ou        ;i';54128.33049;19.1260
2007A         ;B ;54107.11417;16.1770
2007A         ;B ;54117.13620;16.0390
2007A         ;B ;54128.11495;16.8990
2007A         ;B ;54139.10991;18.0160
2007A         ;V ;54107.11116;16.0345
2007A         ;V ;54117.13319;15.7810
2007A         ;V ;54128.11194;16.3320
2007A         ;V ;54139.10689;16.9325
2007A         ;r';54107.10884;15.9790
2007A         ;r';54117.13088;15.7615
2007A         ;r';54128.10963;16.4115
2007A         ;r';54139.10457;16.6025
2007A         ;i';54107.10654;16.1380
2007A         ;i';54117.12855;16.3005
2007A         ;i';54128.10733;17.0385
2007A         ;i';54139.10225;16.7500
2007aj        ;B ;54170.33022;17.1945
2007aj        ;B ;54172.37523;17.4090
2007aj        ;B ;54178.19348;18.0730
2007aj        ;B ;54185.28216;18.9100
2007aj        ;B ;54188.22610;18.9740
2007aj        ;B ;54192.36564;19.2100
2007aj        ;B ;54193.31268;19.4280
2007aj        ;B ;54194.34250;19.4450
2007aj        ;B ;54195.25319;19.2770
2007aj        ;B ;54196.22284;19.4840
2007aj        ;B ;54201.31093;19.6545
2007aj        ;B ;54202.18366;19.8045
2007aj        ;B ;54204.18980;19.8320
2007aj        ;B ;54208.25507;19.8025
2007aj        ;B ;54209.28271;20.0130
2007aj        ;B ;54210.25347;19.8910
2007aj        ;B ;54227.26422;20.3650
2007aj        ;B ;54232.34724;20.3630
2007aj        ;B ;54234.23271;20.4295
2007aj        ;V ;54170.32721;16.8890
2007aj        ;V ;54172.37221;17.0265
2007aj        ;V ;54176.25270;17.3570
2007aj        ;V ;54178.19048;17.3720
2007aj        ;V ;54185.27917;17.7550
2007aj        ;V ;54187.21370;17.8870
2007aj        ;V ;54188.22308;18.1285
2007aj        ;V ;54192.36263;18.3320
2007aj        ;V ;54193.30968;18.3750
2007aj        ;V ;54194.33949;18.4880
2007aj        ;V ;54195.25018;18.5690
2007aj        ;V ;54196.21984;18.5060
2007aj        ;V ;54201.30792;18.7650
2007aj        ;V ;54202.18064;18.7120
2007aj        ;V ;54204.18679;18.7640
2007aj        ;V ;54208.25205;18.9720
2007aj        ;V ;54209.27969;18.9990
2007aj        ;V ;54210.25046;18.9185
2007aj        ;V ;54221.25227;19.3240
2007aj        ;V ;54227.26120;19.3030
2007aj        ;V ;54232.34423;19.3040
2007aj        ;V ;54234.22901;19.4360
2007aj        ;V ;54239.32066;19.5250
2007aj        ;V ;54240.33759;19.6180
2007aj        ;V ;54247.28039;19.7540
2007aj        ;V ;54251.33807;20.2510
2007aj        ;V ;54252.30069;20.0685
2007aj        ;V ;54277.29263;20.3440
2007aj        ;V ;54279.19292;20.5180
2007aj        ;V ;54292.22574;21.1540
2007aj        ;r';54170.32490;17.0160
2007aj        ;r';54172.36991;17.1580
2007aj        ;r';54176.25039;17.3500
2007aj        ;r';54178.18816;17.3690
2007aj        ;r';54185.27686;17.5340
2007aj        ;r';54187.21139;17.6360
2007aj        ;r';54188.22075;17.6530
2007aj        ;r';54192.36032;17.9250
2007aj        ;r';54193.30736;17.9610
2007aj        ;r';54194.33719;18.0240
2007aj        ;r';54195.24786;18.1390
2007aj        ;r';54196.21751;18.1940
2007aj        ;r';54201.30561;18.4120
2007aj        ;r';54202.17835;18.4320
2007aj        ;r';54204.18447;18.5010
2007aj        ;r';54208.24975;18.7010
2007aj        ;r';54209.27736;18.7250
2007aj        ;r';54210.24812;18.7540
2007aj        ;r';54221.24994;19.1100
2007aj        ;r';54227.25888;19.2590
2007aj        ;r';54232.34191;19.4620
2007aj        ;r';54234.22600;19.4930
2007aj        ;r';54239.31764;19.6670
2007aj        ;r';54240.33456;19.6550
2007aj        ;r';54247.27737;19.9170
2007aj        ;r';54251.33506;20.2020
2007aj        ;r';54277.28961;20.9960
2007aj        ;r';54279.18990;20.5245
2007aj        ;r';54291.22201;20.8360
2007aj        ;r';54292.22273;21.2370
2007aj        ;i';54170.32258;17.8100
2007aj        ;i';54172.36758;17.9590
2007aj        ;i';54176.26002;18.1490
2007aj        ;i';54178.18584;17.9760
2007aj        ;i';54185.27455;17.7990
2007aj        ;i';54187.20906;17.9160
2007aj        ;i';54188.21845;17.9000
2007aj        ;i';54192.35802;17.9610
2007aj        ;i';54193.30505;18.1090
2007aj        ;i';54194.33488;18.1120
2007aj        ;i';54195.24557;18.2360
2007aj        ;i';54196.21522;18.1630
2007aj        ;i';54201.30329;18.5735
2007aj        ;i';54202.17602;18.7340
2007aj        ;i';54204.18216;18.6810
2007aj        ;i';54208.24743;18.8070
2007aj        ;i';54209.27505;19.0245
2007aj        ;i';54210.24582;19.0740
2007aj        ;i';54221.24763;19.5580
2007aj        ;i';54227.25656;19.5970
2007aj        ;i';54232.33959;19.6510
2007aj        ;i';54234.22296;19.9030
2007aj        ;i';54239.31463;19.9980
2007aj        ;i';54240.33154;19.9440
2007aj        ;i';54247.27435;20.0960
2007aj        ;i';54251.33205;20.2070
2007aj        ;i';54252.29465;20.1575
2007aj        ;i';54277.28660;20.9165
2007aj        ;i';54279.18687;21.0685
2007bj        ;B ;54213.40057;15.8455
2007bj        ;B ;54214.40357;15.9475
2007bj        ;B ;54216.47436;16.1405
2007bj        ;B ;54218.43021;16.3080
2007bj        ;B ;54219.48512;16.4335
2007bj        ;B ;54220.42786;16.5750
2007bj        ;B ;54226.44243;17.0090
2007bj        ;B ;54227.45806;17.1700
2007bj        ;B ;54232.45079;17.5395
2007bj        ;B ;54234.40222;17.5990
2007bj        ;B ;54236.40233;17.7160
2007bj        ;B ;54237.34110;17.8330
2007bj        ;B ;54239.43645;17.7735
2007bj        ;B ;54240.40346;17.8785
2007bj        ;B ;54244.43891;17.9930
2007bj        ;B ;54247.33397;18.0645
2007bj        ;B ;54254.38572;18.1280
2007bj        ;B ;54256.39931;18.3530
2007bj        ;B ;54259.35240;18.2600
2007bj        ;B ;54267.27549;18.5915
2007bj        ;B ;54277.37351;18.6575
2007bj        ;B ;54278.23792;18.7690
2007bj        ;B ;54284.22131;18.9400
2007bj        ;V ;54213.39756;15.5890
2007bj        ;V ;54214.40057;15.6510
2007bj        ;V ;54216.47135;15.7740
2007bj        ;V ;54218.42720;15.8540
2007bj        ;V ;54219.48209;15.9010
2007bj        ;V ;54220.42484;15.9370
2007bj        ;V ;54226.43940;16.1820
2007bj        ;V ;54227.46111;16.2220
2007bj        ;V ;54232.44777;16.5210
2007bj        ;V ;54234.39920;16.6480
2007bj        ;V ;54236.39931;16.7920
2007bj        ;V ;54237.33808;16.8470
2007bj        ;V ;54239.43344;16.9680
2007bj        ;V ;54240.40044;16.9910
2007bj        ;V ;54244.43591;17.1660
2007bj        ;V ;54247.33096;17.2170
2007bj        ;V ;54254.38272;17.5910
2007bj        ;V ;54256.39629;17.5180
2007bj        ;V ;54259.34937;17.6290
2007bj        ;V ;54267.27247;17.8140
2007bj        ;V ;54277.37049;18.0650
2007bj        ;V ;54278.25161;18.2570
2007bj        ;V ;54284.21831;18.3520
2007bj        ;r';54213.39524;15.7440
2007bj        ;r';54214.39825;15.8090
2007bj        ;r';54216.46903;15.9040
2007bj        ;r';54218.42487;15.9480
2007bj        ;r';54219.47977;15.9810
2007bj        ;r';54220.42253;15.9670
2007bj        ;r';54226.43708;15.9870
2007bj        ;r';54227.45877;16.0245
2007bj        ;r';54232.44545;16.2370
2007bj        ;r';54234.39689;16.3530
2007bj        ;r';54236.39699;16.5080
2007bj        ;r';54237.33576;16.5800
2007bj        ;r';54239.43113;16.6970
2007bj        ;r';54240.39814;16.7350
2007bj        ;r';54244.43360;16.9260
2007bj        ;r';54247.32867;17.0130
2007bj        ;r';54254.38041;17.3380
2007bj        ;r';54256.39396;17.3210
2007bj        ;r';54259.34704;17.4310
2007bj        ;r';54267.27017;17.8740
2007bj        ;r';54277.36815;18.1350
2007bj        ;r';54278.25763;17.9560
2007bj        ;r';54284.21599;18.1155
2007bj        ;i';54213.39292;16.6435
2007bj        ;i';54214.39594;16.6880
2007bj        ;i';54216.46672;16.7570
2007bj        ;i';54218.42256;16.7130
2007bj        ;i';54219.47745;16.6585
2007bj        ;i';54220.42023;16.6890
2007bj        ;i';54226.43476;16.5030
2007bj        ;i';54227.45644;16.5075
2007bj        ;i';54232.44312;16.4460
2007bj        ;i';54234.39457;16.5575
2007bj        ;i';54236.39464;16.6660
2007bj        ;i';54237.33345;16.7605
2007bj        ;i';54239.42882;16.9000
2007bj        ;i';54240.39582;16.9780
2007bj        ;i';54244.43128;17.1645
2007bj        ;i';54247.32634;17.2870
2007bj        ;i';54254.37808;17.5510
2007bj        ;i';54256.39165;17.7735
2007bj        ;i';54259.34472;17.8040
2007bj        ;i';54267.26785;18.4615
2007bj        ;i';54277.36583;18.6530
2007bj        ;i';54284.21368;18.9510
2007cb        ;B ;54226.27301;17.4650
2007cb        ;B ;54227.23887;17.5410
2007cb        ;B ;54232.26576;18.0540
2007cb        ;B ;54236.25722;18.4860
2007cb        ;B ;54237.25749;18.6050
2007cb        ;B ;54240.29934;18.9650
2007cb        ;V ;54226.27000;17.1705
2007cb        ;V ;54227.23586;17.2425
2007cb        ;V ;54232.26274;17.5335
2007cb        ;V ;54234.28207;17.5980
2007cb        ;V ;54236.25422;17.7090
2007cb        ;V ;54237.25448;17.8105
2007cb        ;V ;54240.29562;17.9450
2007cb        ;r';54226.26766;17.2850
2007cb        ;r';54227.23354;17.3275
2007cb        ;r';54232.26043;17.5445
2007cb        ;r';54236.25191;17.6190
2007cb        ;r';54237.25218;17.6160
2007cb        ;r';54240.29263;17.6715
2007cb        ;i';54226.26536;18.0360
2007cb        ;i';54227.23123;17.9885
2007cb        ;i';54232.25810;18.2505
2007cb        ;i';54234.27742;18.2065
2007cb        ;i';54236.25854;18.0855
2007cb        ;i';54237.24985;18.0755
2007cb        ;i';54240.28963;18.0165
2007cc        ;B ;54226.28788;17.1405
2007cc        ;B ;54227.25181;16.8705
2007cc        ;B ;54232.24969;17.4590
2007cc        ;B ;54234.29740;17.6265
2007cc        ;B ;54236.27803;17.9225
2007cc        ;B ;54237.27383;17.9880
2007cc        ;B ;54240.31375;18.3810
2007cc        ;V ;54226.28486;16.5480
2007cc        ;V ;54227.24877;16.5430
2007cc        ;V ;54236.27502;17.0400
2007cc        ;V ;54237.27083;17.1120
2007cc        ;V ;54240.31001;17.2470
2007cc        ;r';54226.28255;16.5735
2007cc        ;r';54227.24646;16.6280
2007cc        ;r';54232.24435;16.9065
2007cc        ;r';54234.29207;16.9930
2007cc        ;r';54236.27272;16.9065
2007cc        ;r';54237.26848;16.9810
2007cc        ;r';54240.30700;17.0030
2007cc        ;i';54226.28023;17.1090
2007cc        ;i';54227.24414;17.1390
2007cc        ;i';54232.24204;17.6765
2007cc        ;i';54234.28975;17.7380
2007cc        ;i';54236.27041;17.3800
2007cc        ;i';54237.26617;17.3550
2007cc        ;i';54240.30398;17.4820
2007cf        ;B ;54231.25920;19.8635
2007cf        ;B ;54232.30856;19.8415
2007cf        ;B ;54234.38967;20.3075
2007cf        ;B ;54236.37064;20.4365
2007cf        ;B ;54237.35485;20.6445
2007cf        ;V ;54231.25620;18.5090
2007cf        ;V ;54232.30554;18.6670
2007cf        ;V ;54234.38666;18.9350
2007cf        ;V ;54235.37951;18.9540
2007cf        ;V ;54236.36763;19.1260
2007cf        ;V ;54237.35185;19.2550
2007cf        ;V ;54239.39581;19.2850
2007cf        ;V ;54240.42958;19.6110
2007cf        ;V ;54244.42182;20.0000
2007cf        ;V ;54253.34126;19.8345
2007cf        ;V ;54254.39824;19.8225
2007cf        ;V ;54256.29733;20.2910
2007cf        ;V ;54259.31366;20.5970
2007cf        ;r';54231.25388;18.2335
2007cf        ;r';54232.30323;18.2445
2007cf        ;r';54234.38434;18.4415
2007cf        ;r';54235.37720;18.5360
2007cf        ;r';54236.36534;18.6260
2007cf        ;r';54237.34952;18.7180
2007cf        ;r';54239.39280;18.8560
2007cf        ;r';54240.42657;18.9820
2007cf        ;r';54244.41882;19.3690
2007cf        ;r';54252.37360;19.7270
2007cf        ;r';54253.35501;19.8880
2007cf        ;r';54254.39523;20.0830
2007cf        ;r';54256.29433;20.1510
2007cf        ;r';54259.31066;20.2600
2007cf        ;i';54231.25154;18.3045
2007cf        ;i';54232.30091;18.4405
2007cf        ;i';54234.37684;18.5070
2007cf        ;i';54235.37487;18.6765
2007cf        ;i';54236.36302;18.5985
2007cf        ;i';54237.34721;18.6995
2007cf        ;i';54239.38978;18.7865
2007cf        ;i';54240.42355;18.8290
2007cf        ;i';54244.41579;19.2775
2007cf        ;i';54252.37058;19.5460
2007cf        ;i';54253.34827;19.9630
2007cf        ;i';54254.39221;19.8260
