Name;MJD;Filter;Mag
2001C ;51933.28865;1;16.96
2001C ;51957.12972;1;17.917
2001C ;51963.19172;1;18.03
2001C ;51987.11832;1;18.549
2001C ;52014.11727;1;19.156
2001C ;51933.29189;2;16.425
2001C ;51957.13304;2;17.559
2001C ;51963.2138;2;17.661
2001C ;51987.12167;2;18.008
2001C ;51992.10215;2;18.082
2001C ;51994.15929;2;18.153
2001C ;52002.16551;2;18.281
2001C ;52002.16551;2;18.281
2001C ;52014.12054;2;18.424
2001C ;51933.29438;3;15.474
2001C ;51957.1356;3;16.59
2001C ;51963.20535;3;16.712
2001C ;51963.21635;3;16.733
2001C ;51987.12418;3;17.358
2001C ;51992.10469;3;17.466
2001C ;51994.16255;3;17.547
2001C ;52002.168;3;17.664
2001C ;52014.12304;3;17.956
2001C ;51933.29616;4;15.183
2001C ;51957.13747;4;16.181
2001C ;51963.20722;4;16.44
2001C ;51963.21822;4;16.426
2001C ;51987.12598;4;17.178
2001C ;51992.10653;4;17.326
2001C ;51994.16509;4;17.377
2001C ;52014.12483;4;17.965
2001C ;51933.29758;5;15.212
2001C ;51963.20872;5;16.34
2001C ;51963.21976;5;16.338
2001C ;51987.12749;5;17.313
2001C ;51992.10803;5;17.501
2001C ;51994.16697;5;17.568
2001C ;52014.12626;5;18.296
2001G ;51933.35581;1;14.772
2001G ;51986.24803;1;18.386
2001G ;51989.24924;1;18.594
2001G ;52027.12301;1;19.183
2001G ;51963.35495;2;17.59
2001G ;51986.2514;2;18.205
2001G ;51989.25255;2;18.245
2001G ;52027.127;2;18.817
2001G ;51930.31596;3;15.057
2001G ;51933.36156;3;15.051
2001G ;51963.3575;3;16.606
2001G ;51989.25512;3;17.568
2001G ;51994.27528;3;17.716
2001G ;52022.26957;3;18.367
2001G ;52027.13019;3;18.454
2001G ;52051.20023;3;19.009
2001G ;51930.31777;4;14.997
2001G ;51933.36336;4;15.007
2001G ;51963.35936;4;16.189
2001G ;51986.25582;4;17.193
2001G ;51989.25698;4;17.268
2001G ;51994.26437;4;17.503
2001G ;51994.27785;4;17.432
2001G ;52022.27204;4;18.326
2001G ;52027.13266;4;18.414
2001G ;52051.20272;4;19.087
2001G ;51930.31921;5;15.445
2001G ;51933.36478;5;15.505
2001G ;51986.25733;5;17.201
2001G ;51989.25851;5;17.255
2001G ;51994.27973;5;17.542
2001G ;52022.27383;5;18.729
2001G ;52027.13446;5;18.741
2001G ;52051.2045;5;19.117
2001N ;51933.40912;2;16.76
2001N ;51934.52686;2;16.798
2001N ;51953.24632;2;18.907
2001N ;51957.1695;2;18.891
2001N ;51933.41159;3;16.413
2001N ;51934.52943;3;16.362
2001N ;51953.24925;3;17.542
2001N ;51957.1751;3;17.619
2001N ;51933.41338;4;16.204
2001N ;51934.53133;4;16.206
2001N ;51939.30172;4;16.454
2001N ;51953.25146;4;16.95
2001N ;51957.17704;4;17.012
2001N ;51933.4148;5;16.532
2001N ;51934.53287;5;16.608
2001N ;51939.30321;5;17.059
2001N ;51953.23955;5;17.096
2001N ;51953.25332;5;17.065
2001N ;51957.17853;5;16.767
2001V ;51961.30133;1;15.607
2001V ;51962.3115;1;15.263
2001V ;51966.43417;1;14.333
2001V ;51975.26529;1;14.371
2001V ;51983.51324;1;15.067
2001V ;51984.40657;1;15.112
2001V ;51985.31483;1;15.151
2001V ;51988.24015;1;15.518
2001V ;51991.12323;1;15.926
2001V ;51994.40903;1;16.41
2001V ;51995.355;1;16.586
2001V ;51996.31128;1;16.652
2001V ;51998.29326;1;16.891
2001V ;52002.3115;1;17.341
2001V ;52018.31821;1;17.763
2001V ;52022.36152;1;17.974
2001V ;52028.11999;1;18.242
2001V ;52031.1958;1;18.255
2001V ;52040.28255;1;18.348
2001V ;51959.53666;2;16.725
2001V ;51961.30468;2;15.962
2001V ;51962.31481;2;15.636
2001V ;51963.39244;2;15.368
2001V ;51966.43748;2;14.955
2001V ;51967.40618;2;14.853
2001V ;51975.26907;2;14.721
2001V ;51980.50308;2;14.888
2001V ;51981.50539;2;14.964
2001V ;51983.50448;2;15.095
2001V ;51984.41103;2;15.117
2001V ;51985.31865;2;15.186
2001V ;51988.24392;2;15.472
2001V ;51991.1648;2;15.774
2001V ;51994.4124;2;16.179
2001V ;51995.35878;2;16.288
2001V ;51996.315;2;16.369
2001V ;51998.297;2;16.485
2001V ;52002.29929;2;16.964
2001V ;52002.31546;2;16.946
2001V ;52013.2442;2;17.539
2001V ;52020.34772;2;17.686
2001V ;52022.36617;2;17.731
2001V ;52025.18817;2;17.765
2001V ;52028.12464;2;17.775
2001V ;52031.20045;2;17.863
2001V ;52035.13508;2;17.946
2001V ;52036.15773;2;17.871
2001V ;52038.36803;2;18.001
2001V ;52051.25817;2;17.993
2001V ;52060.19082;2;18.252
2001V ;51959.53209;3;16.601
2001V ;51959.53921;3;16.58
2001V ;51961.30723;3;15.923
2001V ;51963.39497;3;15.524
2001V ;51965.32613;3;15.114
2001V ;51966.44531;3;14.975
2001V ;51967.40943;3;14.872
2001V ;51975.27161;3;14.665
2001V ;51980.50563;3;14.729
2001V ;51980.51881;3;14.702
2001V ;51981.52015;3;14.766
2001V ;51982.50203;3;14.822
2001V ;51983.50699;3;14.842
2001V ;51983.51954;3;14.861
2001V ;51984.41361;3;14.886
2001V ;51985.32116;3;14.933
2001V ;51988.24642;3;15.091
2001V ;51991.16736;3;15.288
2001V ;51994.41497;3;15.45
2001V ;51995.36132;3;15.495
2001V ;51996.3175;3;15.524
2001V ;51998.2995;3;15.622
2001V ;52002.30178;3;15.913
2001V ;52002.31866;3;15.87
2001V ;52013.24738;3;16.53
2001V ;52020.35089;3;16.759
